user_id,date,risk_score,prediction,dominant_emotion,emotion_score,screen_time,unlocks,sleep_hours,steps_last_24h,habit_id,category,difficulty,time_min,dopamine_level,recommended_for_state,indoor,required_device,popularity_prior,label
1,58:27.7,0.329271212,0,Pride,-0.6,529,219,9.3,1983,151,mental,3,20,low,"['focus_mode', 'night_routine', 'high_screen_time']",TRUE,none,0.6,1
2,58:27.7,0.540671955,1,Surprise,0.1,455,23,4.3,1999,242,mental,2,10,low,['focus_mode'],TRUE,laptop,0.6,1
3,58:27.7,0.116431591,0,Approval,-0.8,73,41,9.3,4594,269,spiritual,1,5,medium,"['stress', 'low_mood']",TRUE,none,0.5,0
4,58:27.7,0.470927217,0,Realization,0.1,138,53,4.5,2543,215,mental,3,15,low,"['overwhelmed', 'focus_mode', 'anxious']",TRUE,laptop,0.2,1
5,58:27.7,0.576394273,1,Sadness,0.9,127,125,8,1025,103,spiritual,3,15,low,"['low_mood', 'anxious', 'overwhelmed']",TRUE,none,0.2,1
6,58:27.7,0.191708737,0,Amusement,-0.8,474,132,8.7,11217,264,physical,2,5,medium,"['morning_energy', 'tired']",TRUE,none,0.5,1
7,58:27.7,0.424899228,0,Neutral,0,110,111,5.7,1043,273,mental,2,3,low,"['anxious', 'angry']",TRUE,none,0.4,1
8,58:27.7,0.470936877,0,Neutral,0,247,13,3.8,4839,3,mental,3,5,low,"['low_mood', 'angry', 'stress']",TRUE,none,0.4,1
9,58:27.7,0.25527354,0,Amusement,-0.8,178,199,5.5,5430,272,mental,3,15,low,"['high_screen_time', 'overwhelmed']",TRUE,laptop,0.3,1
10,58:27.7,0.513875036,1,Neutral,0,105,212,3.4,3627,16,mental,4,60,low,"['high_screen_time', 'focus_mode', 'night_routine']",TRUE,none,0.2,1
11,58:27.7,0.343382858,0,Desire,-0.6,593,247,7.6,3357,226,mental,1,1,medium,"['stress', 'angry']",TRUE,none,0.6,1
12,58:27.7,0.490159072,0,Disapproval,0.7,92,68,7.9,5433,80,mental,1,2,low,"['angry', 'stress', 'anxious']",TRUE,none,0.6,1
13,58:27.7,0.752052795,1,Grief,0.9,423,154,4.9,2327,242,mental,2,10,low,['focus_mode'],TRUE,laptop,0.6,1
14,58:27.7,0.578365327,1,Disapproval,0.7,532,13,7.6,6859,97,physical,2,15,medium,"['tired', 'focus_mode']",FALSE,phone,0.6,0
15,58:27.7,0.825371762,1,Remorse,0.9,396,269,3.4,2213,267,spiritual,2,15,low,['night_routine'],TRUE,none,0.6,1
16,58:27.7,0.786200248,1,Embarrassment,0.7,507,250,3.2,5953,153,mental,2,5,medium,['focus_mode'],TRUE,phone,0.5,1
17,58:27.7,0.680559329,1,Disgust,0.8,284,238,5.9,4594,194,spiritual,1,3,low,"['low_mood', 'night_routine']",TRUE,none,0.3,0
18,58:27.7,0.398392768,0,Neutral,0,88,149,6.4,3676,297,spiritual,2,20,low,"['night_routine', 'high_screen_time']",TRUE,none,0.6,1
19,58:27.7,0.739158662,1,Annoyance,0.6,549,63,3.1,662,295,physical,1,1,low,['night_routine'],TRUE,phone,0.7,1
20,58:27.7,0.646944635,1,Sadness,0.9,418,72,7.1,4600,23,physical,4,30,medium,"['morning_energy', 'stress']",FALSE,none,0.3,0
21,58:27.7,0.279675931,0,Pride,-0.6,455,152,8.8,1638,24,physical,2,10,medium,"['tired', 'night_routine']",TRUE,none,0.25,0
22,58:27.7,0.662092191,1,Disapproval,0.7,531,65,5.9,4048,260,mental,2,10,medium,['angry'],TRUE,none,0.3,1
23,58:27.7,0.415003443,0,Neutral,0,553,82,8.2,5865,125,mental,1,1,medium,"['focus_mode', 'tired']",TRUE,none,0.8,1
24,58:27.7,0.537391855,1,Realization,0.1,309,106,4.1,2289,154,mental,3,10,low,"['focus_mode', 'anxious']",TRUE,none,0.4,1
25,58:27.7,0.603952345,1,Grief,0.9,74,89,6.7,744,120,spiritual,2,30,medium,"['low_mood', 'stress', 'night_routine']",TRUE,none,0.6,1
26,58:27.7,0.708327259,1,Disappointment,0.9,594,296,8.5,4475,222,spiritual,1,5,medium,['low_mood'],TRUE,phone,0.6,1
27,58:27.7,0.620574215,1,Anger,0.8,210,280,7.8,1910,161,spiritual,1,3,low,"['stress', 'anxious']",TRUE,phone,0.7,1
28,58:27.7,0.187147599,0,Love,-0.8,430,139,8.5,10384,221,spiritual,2,10,low,"['stress', 'anxious', 'night_routine']",TRUE,phone,0.4,1
29,58:27.7,0.183417424,0,Approval,-0.8,403,22,8,823,156,physical,1,2,medium,"['tired', 'stress', 'high_screen_time']",TRUE,none,0.8,1
30,58:27.7,0.772684637,1,Sadness,0.9,263,257,3.8,4255,50,mental,2,10,medium,"['morning_energy', 'focus_mode']",TRUE,phone,0.7,1
31,58:27.7,0.500610391,1,Curiosity,0.1,215,14,3.7,2604,42,spiritual,1,10,medium,"['morning_energy', 'stress', 'night_routine']",TRUE,none,0.7,1
32,58:27.7,0.155520453,0,Caring,-0.8,104,41,9.8,2694,181,mental,2,5,low,"['stress', 'overwhelmed', 'low_mood']",TRUE,none,0.5,1
33,58:27.7,0.661752334,1,Sadness,0.9,262,190,6.4,6880,176,spiritual,2,10,low,"['stress', 'anxious', 'overwhelmed', 'night_routine']",TRUE,phone,0.6,1
34,58:27.7,0.353428287,0,Neutral,0,197,115,8.1,3813,31,mental,2,3,medium,"['stress', 'anxious', 'overwhelmed']",TRUE,none,0.6,1
35,58:27.7,0.709615004,1,Sadness,0.9,564,246,7.8,3119,44,spiritual,1,10,medium,"['stress', 'anxious', 'low_mood']",TRUE,none,0.4,0
36,58:27.7,0.368138012,0,Optimism,-0.7,436,30,3.3,2094,158,physical,3,30,low,"['stress', 'morning_energy', 'night_routine']",TRUE,none,0.4,1
37,58:27.7,0.685222102,1,Grief,0.9,259,234,6.5,3021,36,physical,2,1,low,"['focus_mode', 'tired']",TRUE,none,0.5,0
38,58:27.7,0.673623787,1,Disgust,0.8,322,212,6.6,607,135,spiritual,3,1,low,"['night_routine', 'high_screen_time']",TRUE,none,0.4,1
39,58:27.7,0.391590181,0,Neutral,0,429,50,8.7,2335,140,mental,1,1,high,"['tired', 'stress', 'angry']",TRUE,none,0.7,1
40,58:27.7,0.182756153,0,Love,-0.8,67,170,9.7,1926,8,physical,2,10,medium,"['stress', 'low_mood', 'focus_mode', 'tired']",FALSE,none,0.7,1
